@relation vestibular

@attribute pontos {'20-40 pontos','40-60 pontos','60-80 pontos','acima 80 pontos','menos 20 pontos'}
@attribute curso {'ENGENHARIA AGRONOMICA','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO',INFORMATICA,AGROPECUARIA,'CIENCIA DA COMPUTACAO','ENSINO MEDIO E TECNICO EM INFORMATICA','CIENCIAS BIOLOGICAS','EDUCACAO FISICA','MEIO AMBIENTE',ENFERMAGEM,'ENSINO MEDIO E TECNICO EM ALIMENTOS','SEGURANCA DO TRABALHO'}
@attribute grau {SUPERIOR,'ENSINO MEDIO E TECNICO',TECNICO,LICENCIATURA,BACHARELADO}
@attribute periodo {INTEGRAL,NOTURNO,VESPERTINO}
@attribute sexo {M,F}
@attribute idade {'entre 23 e 30','menor 17','entre 18 e 22','17 anos','entre 31 e 40','acima 40'}
@attribute local_origem {'Zona Urbana','Zona Rural'}
@attribute tipo_instituicao {'Apenas em escola publica','A maior parte em escola publica','Apenas em escola particular','A maior parte em escola particular'}
@attribute renda_familiar {'Maior que R$ 1530,00','R$ 511,00 a 765,00','R$ 1276,00 a 1530,00','R$ 766,00 a 1275,00','R$ 255,00 a 510,00','Menor que R$ 255,00'}
@attribute tipo_residencia {Alugada,Propria,Outros,Financiada}
@attribute grau_escolaridade {'MEdio Completo',Fundamental,'MEdio Incompleto'}
@attribute motivo {'RealizaCAo pessoal','Possibilidades no mercado de trabalho','outro motivo','PrestIgio social da profissAo','InfluEncia da famIlia e/ou amigos','ContribuiCAo para a sociedade','Resultados de testes vocacionais','O curso so existe neste Instituto','Baixa concorrEncia no vestibular'}
@attribute transporte {proprio,Onibus/van,carona,outro,'nenhum (a pE)',bicicleta}
@attribute instrucao_pai {'Ensino MEdio Incompleto','Ensino Fundam. incompleto','Ensino MEdio Completo','Ensino Fundamental Completo','Ensino Superior Completo',Analfabeto,'Ensino Superior incompleto',Pos-graduaCAo}
@attribute instrucao_mae {'Ensino MEdio Completo','Ensino Fundam. incompleto','Ensino Fundamental Completo','Ensino MEdio Incompleto',Pos-graduaCAo,'Ensino Superior incompleto','Ensino Superior Completo',Analfabeto}
@attribute automovel {Sim,NAo}
@attribute livros {'Nenhum livro','1 ou 2 livros','Mais de 5 livros','3 a 4 livros'}
@attribute leitura {Outro,FicCAo,TEcnico-cientIfico,Romance,Religioso}
@attribute internet {Diariamente,'NAo utiliza','Semanalmente (algumas vezes)','Somente nos Finais de semana',Mensalmente,Quinzenalmente}

@data
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','PrestIgio social da profissAo','nenhum (a pE)','Ensino MEdio Completo','Ensino Fundam. incompleto',Sim,'1 ou 2 livros',FicCAo,Diariamente
'60-80 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Financiada,Fundamental,'RealizaCAo pessoal',outro,'Ensino Superior Completo','Ensino Superior incompleto',Sim,'Mais de 5 livros',FicCAo,Diariamente
'40-60 pontos','ENSINO MEDIO E TECNICO EM INFORMATICA','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,Fundamental,'RealizaCAo pessoal',Onibus/van,'Ensino MEdio Incompleto','Ensino Superior Completo',Sim,'3 a 4 livros',Outro,Diariamente
'40-60 pontos','ENSINO MEDIO E TECNICO EM INFORMATICA','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Outros,Fundamental,'Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundamental Completo',NAo,'3 a 4 livros',FicCAo,Diariamente
'20-40 pontos','CIENCIAS BIOLOGICAS',LICENCIATURA,NOTURNO,M,'entre 23 e 30','Zona Rural','Apenas em escola publica','Maior que R$ 1530,00',Propria,'MEdio Completo','Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'1 ou 2 livros',TEcnico-cientIfico,Diariamente
'40-60 pontos','ENSINO MEDIO E TECNICO EM ALIMENTOS','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','R$ 1276,00 a 1530,00',Propria,Fundamental,'RealizaCAo pessoal',Onibus/van,'Ensino Fundamental Completo','Ensino MEdio Completo',Sim,'Mais de 5 livros',FicCAo,Diariamente
'40-60 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,M,'entre 31 e 40','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Outros,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',NAo,'3 a 4 livros',FicCAo,'Semanalmente (algumas vezes)'
'40-60 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Alugada,Fundamental,'RealizaCAo pessoal',Onibus/van,'Ensino Superior incompleto','Ensino MEdio Completo',Sim,'1 ou 2 livros',FicCAo,Diariamente
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,M,'entre 18 e 22','Zona Rural','Apenas em escola publica','Maior que R$ 1530,00',Propria,'MEdio Completo','RealizaCAo pessoal',proprio,'Ensino Fundam. incompleto','Ensino MEdio Incompleto',Sim,'3 a 4 livros',Outro,Diariamente
'40-60 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 1276,00 a 1530,00',Financiada,'MEdio Completo','Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundam. incompleto','Ensino MEdio Completo',Sim,'1 ou 2 livros',TEcnico-cientIfico,Diariamente
'40-60 pontos','EDUCACAO FISICA',BACHARELADO,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 255,00 a 510,00',Propria,'MEdio Completo','RealizaCAo pessoal',carona,'Ensino Fundamental Completo','Ensino Fundamental Completo',NAo,'Mais de 5 livros',Religioso,Diariamente
'40-60 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Outros,Fundamental,'Possibilidades no mercado de trabalho',outro,'Ensino Fundamental Completo','Ensino Fundamental Completo',NAo,'3 a 4 livros',Romance,'Semanalmente (algumas vezes)'
'40-60 pontos',AGROPECUARIA,TECNICO,INTEGRAL,M,'entre 18 e 22','Zona Rural','Apenas em escola publica','R$ 766,00 a 1275,00',Outros,'MEdio Completo','RealizaCAo pessoal',carona,'Ensino MEdio Incompleto','Ensino Fundamental Completo',NAo,'3 a 4 livros',Outro,'Semanalmente (algumas vezes)'
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,M,'entre 23 e 30','Zona Rural','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','RealizaCAo pessoal',carona,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'3 a 4 livros',TEcnico-cientIfico,'Somente nos Finais de semana'
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,M,'entre 23 e 30','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Completo','RealizaCAo pessoal',bicicleta,'Ensino Superior Completo','Ensino Superior Completo',Sim,'1 ou 2 livros',TEcnico-cientIfico,Diariamente
'40-60 pontos',AGROPECUARIA,TECNICO,INTEGRAL,M,'entre 18 e 22','Zona Urbana','A maior parte em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','outro motivo',outro,'Ensino MEdio Incompleto','Ensino Superior incompleto',NAo,'1 ou 2 livros',FicCAo,Diariamente
'40-60 pontos',AGROPECUARIA,TECNICO,INTEGRAL,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino Fundamental Completo','Ensino Fundamental Completo',Sim,'1 ou 2 livros',Romance,Diariamente
'40-60 pontos',AGROPECUARIA,TECNICO,INTEGRAL,F,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Financiada,'MEdio Incompleto','RealizaCAo pessoal','nenhum (a pE)','Ensino Fundam. incompleto','Ensino Fundam. incompleto',NAo,'3 a 4 livros',FicCAo,Mensalmente
'20-40 pontos','EDUCACAO FISICA',BACHARELADO,NOTURNO,F,'entre 23 e 30','Zona Rural','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Completo','Possibilidades no mercado de trabalho',Onibus/van,'Ensino MEdio Incompleto','Ensino Fundam. incompleto',NAo,'3 a 4 livros',Outro,'Semanalmente (algumas vezes)'
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,F,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Completo','Resultados de testes vocacionais',bicicleta,'Ensino Fundam. incompleto','Ensino Fundamental Completo',NAo,'1 ou 2 livros',Romance,'Somente nos Finais de semana'
'20-40 pontos','MEIO AMBIENTE',TECNICO,NOTURNO,M,'entre 23 e 30','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Completo','RealizaCAo pessoal','nenhum (a pE)',Analfabeto,'Ensino Fundam. incompleto',NAo,'3 a 4 livros',Outro,Mensalmente
'20-40 pontos','ENSINO MEDIO E TECNICO EM INFORMATICA','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,Fundamental,'outro motivo',Onibus/van,'Ensino Superior Completo','Ensino Superior Completo',Sim,'Mais de 5 livros',Romance,Diariamente
'40-60 pontos',ENFERMAGEM,TECNICO,NOTURNO,F,'entre 23 e 30','Zona Urbana','Apenas em escola publica','R$ 1276,00 a 1530,00',Financiada,'MEdio Completo','Possibilidades no mercado de trabalho',Onibus/van,'Ensino Superior incompleto','Ensino Fundam. incompleto',Sim,'Mais de 5 livros',Romance,Mensalmente
'40-60 pontos','EDUCACAO FISICA',BACHARELADO,NOTURNO,F,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 255,00 a 510,00',Propria,'MEdio Completo','Possibilidades no mercado de trabalho','nenhum (a pE)','Ensino Fundamental Completo','Ensino Fundam. incompleto',Sim,'3 a 4 livros',TEcnico-cientIfico,Diariamente
'40-60 pontos','ENSINO MEDIO E TECNICO EM INFORMATICA','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Alugada,Fundamental,'Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundamental Completo','Ensino Fundamental Completo',Sim,'Mais de 5 livros',Outro,Diariamente
'40-60 pontos',AGROPECUARIA,TECNICO,INTEGRAL,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 255,00 a 510,00',Outros,'MEdio Completo','InfluEncia da famIlia e/ou amigos',Onibus/van,'Ensino Fundamental Completo','Ensino Fundamental Completo',Sim,'Nenhum livro',Outro,'Semanalmente (algumas vezes)'
'60-80 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Propria,Fundamental,'Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundamental Completo','Ensino MEdio Completo',Sim,'1 ou 2 livros',TEcnico-cientIfico,Diariamente
'60-80 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Rural','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Incompleto','Possibilidades no mercado de trabalho','nenhum (a pE)','Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'Mais de 5 livros',FicCAo,Mensalmente
'20-40 pontos','ENSINO MEDIO E TECNICO EM INFORMATICA','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Urbana','Apenas em escola publica','R$ 255,00 a 510,00',Propria,Fundamental,'InfluEncia da famIlia e/ou amigos',Onibus/van,'Ensino MEdio Completo','Ensino Fundam. incompleto',Sim,'1 ou 2 livros',Outro,Diariamente
'60-80 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,Fundamental,'InfluEncia da famIlia e/ou amigos',outro,'Ensino MEdio Incompleto','Ensino MEdio Completo',NAo,'3 a 4 livros',Outro,'Somente nos Finais de semana'
'40-60 pontos','EDUCACAO FISICA',BACHARELADO,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Outros,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino Fundamental Completo','Ensino Superior incompleto',NAo,'1 ou 2 livros',Romance,'Semanalmente (algumas vezes)'
'20-40 pontos','EDUCACAO FISICA',BACHARELADO,VESPERTINO,M,'entre 18 e 22','Zona Urbana','A maior parte em escola publica','R$ 1276,00 a 1530,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino MEdio Completo','Ensino MEdio Completo',Sim,'1 ou 2 livros',Outro,Diariamente
'40-60 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Incompleto','Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundamental Completo',Sim,'3 a 4 livros',FicCAo,Diariamente
'20-40 pontos','EDUCACAO FISICA',BACHARELADO,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Alugada,'MEdio Incompleto','RealizaCAo pessoal',outro,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'1 ou 2 livros',Outro,Diariamente
'20-40 pontos','EDUCACAO FISICA',LICENCIATURA,NOTURNO,M,'entre 23 e 30','Zona Urbana','Apenas em escola publica','R$ 1276,00 a 1530,00',Alugada,'MEdio Completo','ContribuiCAo para a sociedade',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundamental Completo',NAo,'1 ou 2 livros',Outro,'Semanalmente (algumas vezes)'
'40-60 pontos','ENSINO MEDIO E TECNICO EM INFORMATICA','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','R$ 1276,00 a 1530,00',Propria,Fundamental,'Possibilidades no mercado de trabalho',carona,'Ensino MEdio Completo','Ensino MEdio Completo',NAo,'Mais de 5 livros',FicCAo,Diariamente
'60-80 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Completo','RealizaCAo pessoal',proprio,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'1 ou 2 livros',TEcnico-cientIfico,'Semanalmente (algumas vezes)'
'60-80 pontos','ENSINO MEDIO E TECNICO EM ALIMENTOS','ENSINO MEDIO E TECNICO',INTEGRAL,F,'17 anos','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Alugada,Fundamental,'Possibilidades no mercado de trabalho',carona,'Ensino Superior Completo','Ensino Fundamental Completo',NAo,'Mais de 5 livros',Romance,Diariamente
'40-60 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Rural','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,Fundamental,'Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundamental Completo','Ensino Fundamental Completo',Sim,'Mais de 5 livros',FicCAo,'NAo utiliza'
'60-80 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','A maior parte em escola particular','R$ 1276,00 a 1530,00',Propria,Fundamental,'O curso so existe neste Instituto',Onibus/van,'Ensino Superior Completo','Ensino Superior incompleto',Sim,'Nenhum livro',Romance,Diariamente
'60-80 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,F,'entre 18 e 22','Zona Rural','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Incompleto','RealizaCAo pessoal','nenhum (a pE)','Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'1 ou 2 livros',Romance,'Semanalmente (algumas vezes)'
'40-60 pontos','ENSINO MEDIO E TECNICO EM INFORMATICA','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Propria,Fundamental,'Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundamental Completo',Sim,'Mais de 5 livros',Romance,Diariamente
'40-60 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino Fundamental Completo','Ensino Fundamental Completo',Sim,'3 a 4 livros',Outro,Diariamente
'60-80 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,F,'entre 18 e 22','Zona Rural','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Incompleto','RealizaCAo pessoal',Onibus/van,'Ensino Fundamental Completo','Ensino Fundamental Completo',Sim,'3 a 4 livros',Outro,Diariamente
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Completo','RealizaCAo pessoal','nenhum (a pE)','Ensino MEdio Completo','Ensino MEdio Incompleto',Sim,'1 ou 2 livros',FicCAo,'Semanalmente (algumas vezes)'
'40-60 pontos','EDUCACAO FISICA',BACHARELADO,NOTURNO,F,'entre 18 e 22','Zona Urbana','A maior parte em escola particular','R$ 766,00 a 1275,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino MEdio Completo','Ensino MEdio Completo',NAo,'Mais de 5 livros',Romance,'Semanalmente (algumas vezes)'
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,F,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 1276,00 a 1530,00',Propria,'MEdio Completo','PrestIgio social da profissAo',carona,Pos-graduaCAo,'Ensino Fundam. incompleto',Sim,'3 a 4 livros',Romance,'Semanalmente (algumas vezes)'
'40-60 pontos','CIENCIAS BIOLOGICAS',LICENCIATURA,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Financiada,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino MEdio Completo','Ensino MEdio Completo',Sim,'3 a 4 livros',Romance,'Semanalmente (algumas vezes)'
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,F,'entre 18 e 22','Zona Urbana','A maior parte em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','RealizaCAo pessoal','nenhum (a pE)','Ensino MEdio Completo','Ensino Fundam. incompleto',NAo,'Mais de 5 livros',Outro,'Semanalmente (algumas vezes)'
'20-40 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Alugada,Fundamental,'outro motivo',Onibus/van,'Ensino MEdio Completo','Ensino MEdio Completo',NAo,'Nenhum livro',Outro,'Semanalmente (algumas vezes)'
'40-60 pontos','EDUCACAO FISICA',LICENCIATURA,VESPERTINO,F,'entre 23 e 30','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino Fundamental Completo','Ensino Fundamental Completo',Sim,'1 ou 2 livros',Outro,'Semanalmente (algumas vezes)'
'40-60 pontos','ENSINO MEDIO E TECNICO EM ALIMENTOS','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Alugada,Fundamental,'PrestIgio social da profissAo',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'Mais de 5 livros',FicCAo,Diariamente
'60-80 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,F,'menor 17','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Propria,Fundamental,'RealizaCAo pessoal',Onibus/van,'Ensino Fundam. incompleto','Ensino Superior Completo',Sim,'Mais de 5 livros',Romance,Diariamente
'40-60 pontos','ENSINO MEDIO E TECNICO EM ALIMENTOS','ENSINO MEDIO E TECNICO',INTEGRAL,F,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 255,00 a 510,00',Alugada,Fundamental,'RealizaCAo pessoal',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',NAo,'Mais de 5 livros',Outro,'Semanalmente (algumas vezes)'
'20-40 pontos','ENSINO MEDIO E TECNICO EM INFORMATICA','ENSINO MEDIO E TECNICO',INTEGRAL,M,'17 anos','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Alugada,Fundamental,'PrestIgio social da profissAo',Onibus/van,'Ensino MEdio Incompleto','Ensino MEdio Incompleto',Sim,'1 ou 2 livros',TEcnico-cientIfico,'Somente nos Finais de semana'
'40-60 pontos','EDUCACAO FISICA',LICENCIATURA,VESPERTINO,F,'entre 18 e 22','Zona Urbana','A maior parte em escola publica','R$ 1276,00 a 1530,00',Financiada,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino Superior Completo','Ensino Superior Completo',Sim,'3 a 4 livros',Romance,Diariamente
'20-40 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 255,00 a 510,00',Alugada,'MEdio Completo','Possibilidades no mercado de trabalho',Onibus/van,'Ensino Superior Completo','Ensino MEdio Incompleto',Sim,'3 a 4 livros',Outro,Diariamente
'acima 80 pontos',INFORMATICA,TECNICO,NOTURNO,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','Maior que R$ 1530,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino MEdio Completo','Ensino MEdio Completo',Sim,'Nenhum livro',TEcnico-cientIfico,Diariamente
'20-40 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,F,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino MEdio Incompleto','Ensino MEdio Completo',Sim,'1 ou 2 livros',Outro,Diariamente
'40-60 pontos','CIENCIA DA COMPUTACAO',SUPERIOR,NOTURNO,F,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino Fundam. incompleto','Ensino MEdio Incompleto',NAo,'3 a 4 livros',Romance,Diariamente
'60-80 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Urbana','Apenas em escola particular','Maior que R$ 1530,00',Propria,Fundamental,'RealizaCAo pessoal',carona,'Ensino Superior Completo','Ensino Superior Completo',Sim,'1 ou 2 livros',Outro,'Semanalmente (algumas vezes)'
'40-60 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'menor 17','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,Fundamental,'RealizaCAo pessoal','nenhum (a pE)','Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'Mais de 5 livros',Outro,'Semanalmente (algumas vezes)'
'40-60 pontos','EDUCACAO FISICA',BACHARELADO,NOTURNO,F,'entre 23 e 30','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Alugada,'MEdio Completo','Possibilidades no mercado de trabalho',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'3 a 4 livros',Outro,Diariamente
'20-40 pontos','ENSINO MEDIO E TECNICO EM AGROPECUARIA INTEGRADO','ENSINO MEDIO E TECNICO',INTEGRAL,M,'17 anos','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,Fundamental,'InfluEncia da famIlia e/ou amigos',Onibus/van,'Ensino MEdio Completo','Ensino MEdio Completo',NAo,'Nenhum livro',Outro,Diariamente
'40-60 pontos','CIENCIAS BIOLOGICAS',LICENCIATURA,NOTURNO,F,'entre 31 e 40','Zona Urbana','Apenas em escola publica','R$ 255,00 a 510,00',Alugada,'MEdio Incompleto','RealizaCAo pessoal',Onibus/van,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',NAo,'Mais de 5 livros',Outro,Diariamente
'40-60 pontos',AGROPECUARIA,TECNICO,INTEGRAL,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino Fundamental Completo','Ensino Fundamental Completo',Sim,'1 ou 2 livros',Outro,'Somente nos Finais de semana'
'20-40 pontos','ENGENHARIA AGRONOMICA',SUPERIOR,INTEGRAL,F,'entre 18 e 22','Zona Urbana','A maior parte em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','Possibilidades no mercado de trabalho',Onibus/van,'Ensino MEdio Completo','Ensino MEdio Completo',NAo,'3 a 4 livros',FicCAo,'Semanalmente (algumas vezes)'
'60-80 pontos',INFORMATICA,TECNICO,NOTURNO,M,'entre 18 e 22','Zona Urbana','A maior parte em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','PrestIgio social da profissAo',proprio,'Ensino Fundam. incompleto','Ensino Fundam. incompleto',Sim,'1 ou 2 livros',Religioso,'Semanalmente (algumas vezes)'
'40-60 pontos','MEIO AMBIENTE',TECNICO,NOTURNO,F,'entre 31 e 40','Zona Urbana','Apenas em escola publica','R$ 511,00 a 765,00',Outros,'MEdio Completo','InfluEncia da famIlia e/ou amigos',carona,'Ensino Fundam. incompleto','Ensino Fundamental Completo',NAo,'1 ou 2 livros',Romance,'NAo utiliza'
'40-60 pontos',AGROPECUARIA,TECNICO,INTEGRAL,M,'entre 18 e 22','Zona Urbana','Apenas em escola publica','R$ 766,00 a 1275,00',Propria,'MEdio Completo','RealizaCAo pessoal',Onibus/van,'Ensino Fundam. incompleto','Ensino Superior Completo',Sim,'1 ou 2 livros',Outro,'Somente nos Finais de semana'
